Title,aka,Year,Director
A Prayer for Katerina Horovitzova,,1965,Antonín Moskalyk
"The Gala in the Botanical Garden
",Slávnost v botanickej záhrade,1969,Elo Havetta
Courage for Every Day,,1964,Evald Schorm
The End of a Priest,,1969,Evald Schorm
The White Dove,,1960,František Vláčil
The Devil's Trap,,1962,František Vláčil
Marketa Lazarová,,1967,František Vláčil
Valley of the Bees,,1968,František Vláčil
Adelheid,,1970,František Vláčil
Intimate Lighting,,1965,Ivan Passer
The Shop on Main Street,,1965,Ján Kadár and Elmar Klos
Diamonds of the Night,,1964,Jan Němec
The Party and the Guests,,1966,Jan Němec
The Cry,,1963,Jaromil Jireš
"The Joke
",,1968,Jaromil Jireš
Valerie and Her Week of Wonders,,1971,Jaromil Jireš
Behold Homolka,,1969,Jaroslav Papoušek
Capricious Summer,,1968,Jiří Menzel
Larks on a String,,1990,Jiří Menzel
Closely Watched Trains,,1966,Jiří Menzel
Pearls of the Deep,,1966,"Jiří Menzel, Jan Němec, Evald Schorm, Věra Chytilová, Jaromil Jireš"
The Hand,,1965,Jiří Trnka
Crucial Years,,1967,Juraj Jakubisko
Deserters and Pilgrims (aka The Deserter and the Nomads),,1968,Juraj Jakubisko
"Birds, Orphans and Fools",,1969,Juraj Jakubisko
Long Live the Republic,,1965,Karel Kachyna
Coach to Vienna,,1966,Karel Kachyna
The Ear,,1970,Karel Kachyna
The Fabulous Baron Munchausen,,1961,Karel Zeman
Black Peter,,1963,Miloš Forman
Loves of a Blonde,,1965,Miloš Forman
The Firemen's Ball,,1968,Miloš Forman
Joseph Kilian,,1963,Pavel Jurácek
The Cremator,,1968,Spalovač mrtvol
The Sun in a Net,,1962,Štefan Uher
Something Different,,1963,Věra Chytilová
Daisies,,1967,Věra Chytilová
Fruit of Paradise,,1970,Věra Chytilová
All My Compatriots (All My Good Countrymen),,1968,Vojtěch Jasný
...and the Fifth Horseman Is Fear,,1964,Zbyněk Brynych
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
